Average Size,Climate,Soil Type,Experience,Labour Requirement,Irrigation System,Pest and Disease Resistance,Crop Yield Potential,Recommended Plant
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Sweet Potato
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Partial Irrigation,Low,High,Yam
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Partial Irrigation,Low,Medium,Taro
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,High,Pear
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Guava
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Fully Irrigated,Low,High,Lychee
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Fully Irrigated,Low,Medium,Pomegranate
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Rain-fed,Moderate,High,Fig
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Rain-fed,Moderate,Medium,Apricot
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Rain-fed,Low,High,Peach
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Rain-fed,Low,Medium,Cherry
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Partial Irrigation,Moderate,High,Plum
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Partial Irrigation,Moderate,Medium,Kiwi
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Partial Irrigation,Low,High,Dragon Fruit
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Partial Irrigation,Low,Medium,Jackfruit
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Fully Irrigated,Moderate,High,Persimmon
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Fully Irrigated,Moderate,Medium,Date Palm
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Fully Irrigated,Low,High,Mulberry
Less than 10 acres,Tropical,Clayey Soil,Successful,High,Fully Irrigated,Low,Medium,Gooseberry
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Elderberry
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Blackberry
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Rain-fed,Low,High,Hazelnut
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Macadamia
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Saffron
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Cumin
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Anise
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Caraway
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Dill
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Hemp
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Aloe Vera
Less than 10 acres,Tropical,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Eucalyptus
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Rain-fed,Moderate,High,Ginseng
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Yerba Mate
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Rain-fed,Low,High,Paddy
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Rain-fed,Low,Medium,Wheat
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Potato
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Tomato
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Partial Irrigation,Low,High,Corn
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Barley
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Carrot
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Onion
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Fully Irrigated,Low,High,Sugarcane
Less than 10 acres,Tropical,Sandy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Soybean
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Rain-fed,Moderate,High,Cabbage
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Cauliflower
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Rain-fed,Low,High,Spinach
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Rain-fed,Low,Medium,Lettuce
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Peas
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Chickpeas
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Partial Irrigation,Low,High,Lentils
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Mustard
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Sunflower
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Groundnut
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Fully Irrigated,Low,High,Cotton
Less than 10 acres,Tropical,Sandy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Millet
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Rain-fed,Moderate,High,Sorghum
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Rain-fed,Moderate,Medium,Rice
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Rain-fed,Low,High,Oats
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Rain-fed,Low,Medium,Rye
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Partial Irrigation,Moderate,High,Banana
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Mango
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Partial Irrigation,Low,High,Apple
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Partial Irrigation,Low,Medium,Grapes
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Fully Irrigated,Moderate,High,Orange
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Papaya
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Fully Irrigated,Low,High,Pineapple
Less than 10 acres,Tropical,Sandy Soil,Successful,High,Fully Irrigated,Low,Medium,Strawberry
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Blueberry
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Raspberry
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Rain-fed,Low,High,Watermelon
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Cucumber
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Pumpkin
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Zucchini
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Bell Pepper
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Chili Pepper
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Brinjal (Eggplant)
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Radish
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Beetroot
Less than 10 acres,Temperate,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Garlic
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Rain-fed,Moderate,High,Ginger
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Turmeric
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Rain-fed,Low,High,Basil
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Rain-fed,Low,Medium,Coriander
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Parsley
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Thyme
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Partial Irrigation,Low,High,Rosemary
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Lavender
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Tea
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Coffee
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Fully Irrigated,Low,High,Cocoa
Less than 10 acres,Temperate,Loamy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Cashew
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Rain-fed,Moderate,High,Almond
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Pistachio
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Rain-fed,Low,High,Walnut
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Rain-fed,Low,Medium,Coconut
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Sesame
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Flaxseed
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Partial Irrigation,Low,High,Jute
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Rubber
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Vanilla
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Cardamom
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Fully Irrigated,Low,High,Clove
Less than 10 acres,Temperate,Loamy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Nutmeg
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Rain-fed,Moderate,High,Pepper
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Rain-fed,Moderate,Medium,Fenugreek
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Rain-fed,Low,High,Fennel
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Rain-fed,Low,Medium,Celery
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Partial Irrigation,Moderate,High,Asparagus
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Okra
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Partial Irrigation,Low,High,Bitter Gourd
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Partial Irrigation,Low,Medium,Sweet Potato
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Fully Irrigated,Moderate,High,Yam
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Taro
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Fully Irrigated,Low,High,Pear
Less than 10 acres,Temperate,Loamy Soil,Successful,High,Fully Irrigated,Low,Medium,Guava
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,High,Lychee
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Pomegranate
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Rain-fed,Low,High,Fig
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Rain-fed,Low,Medium,Apricot
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Peach
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Cherry
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,High,Plum
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Kiwi
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Dragon Fruit
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Jackfruit
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,High,Persimmon
Less than 10 acres,Temperate,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Date Palm
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Rain-fed,Moderate,High,Mulberry
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Rain-fed,Moderate,Medium,Gooseberry
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Rain-fed,Low,High,Elderberry
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Rain-fed,Low,Medium,Blackberry
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,High,Hazelnut
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Macadamia
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Partial Irrigation,Low,High,Saffron
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Partial Irrigation,Low,Medium,Cumin
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,High,Anise
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Caraway
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Fully Irrigated,Low,High,Dill
Less than 10 acres,Temperate,Clayey Soil,New for Farming,High,Fully Irrigated,Low,Medium,Hemp
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Rain-fed,Moderate,High,Aloe Vera
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Rain-fed,Moderate,Medium,Eucalyptus
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Rain-fed,Low,High,Ginseng
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Rain-fed,Low,Medium,Yerba Mate
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,High,Paddy
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Wheat
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Partial Irrigation,Low,High,Potato
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Partial Irrigation,Low,Medium,Tomato
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,High,Corn
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Barley
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Fully Irrigated,Low,High,Carrot
Less than 10 acres,Temperate,Clayey Soil,Successful,Medium,Fully Irrigated,Low,Medium,Onion
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Rain-fed,Moderate,High,Sugarcane
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Rain-fed,Moderate,Medium,Soybean
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Rain-fed,Low,High,Cabbage
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Rain-fed,Low,Medium,Cauliflower
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Partial Irrigation,Moderate,High,Spinach
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Partial Irrigation,Moderate,Medium,Lettuce
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Partial Irrigation,Low,High,Peas
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Partial Irrigation,Low,Medium,Chickpeas
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Fully Irrigated,Moderate,High,Lentils
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Fully Irrigated,Moderate,Medium,Mustard
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Fully Irrigated,Low,High,Sunflower
Less than 10 acres,Temperate,Clayey Soil,Successful,High,Fully Irrigated,Low,Medium,Groundnut
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Cotton
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Millet
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Rain-fed,Low,High,Sorghum
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Rice
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Oats
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Rye
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Banana
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Mango
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Apple
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Grapes
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Orange
Less than 10 acres,Temperate,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Papaya
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Rain-fed,Moderate,High,Pineapple
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Strawberry
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Rain-fed,Low,High,Blueberry
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Rain-fed,Low,Medium,Raspberry
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Watermelon
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Cucumber
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Partial Irrigation,Low,High,Pumpkin
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Zucchini
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Bell Pepper
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Chili Pepper
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Fully Irrigated,Low,High,Brinjal (Eggplant)
Less than 10 acres,Temperate,Sandy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Radish
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Rain-fed,Moderate,High,Beetroot
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Garlic
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Rain-fed,Low,High,Ginger
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Rain-fed,Low,Medium,Turmeric
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Basil
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Coriander
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Partial Irrigation,Low,High,Parsley
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Thyme
