Maintenance,Water Requirement,Growth Habit,Size and Height,Uses,Recommended Plant
Low,Low,Grass,Large,Medicinal,Oleander (Nerium oleander)
Low,Low,Grass,Large,Commercial,Canna Lily (Canna indica)
Low,Low,Grass,Tall,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
Low,Low,Grass,Tall,Medicinal,Yucca (Yucca filamentosa)
Low,Low,Grass,Tall,Commercial,Desert Rose (Adenium obesum)
Low,Medium,Tree,Small,Ornamental,Heliconia (Heliconia spp.)
Low,Medium,Tree,Small,Medicinal,Cypress (Cupressus spp.)
Low,Medium,Tree,Small,Commercial,Citrus Tree (Citrus spp.)
Low,Medium,Tree,Medium,Ornamental,Bitter Melon (Momordica charantia)
Low,Medium,Tree,Medium,Medicinal,Passion Fruit Vine (Passiflora edulis)
Low,Medium,Tree,Medium,Commercial,Jade Plant (Crassula ovata)
Low,Medium,Tree,Dwarf,Ornamental,Mango Tree (Mangifera indica)
Low,Medium,Tree,Dwarf,Medicinal,Cocoa Tree (Theobroma cacao)
Low,Medium,Tree,Dwarf,Commercial,Tropical Ginger (Zingiber zerumbet)
Low,Medium,Tree,Large,Ornamental,Red Banana (Ensete ventricosum)
Low,Medium,Tree,Large,Medicinal,Rex Begonia (Begonia rex)
Low,Medium,Tree,Large,Commercial,Chili Pepper (Capsicum annuum)
Low,Medium,Tree,Tall,Ornamental,Maranta (Maranta spp.)
Low,Medium,Tree,Tall,Medicinal,Angel’s Trumpet (Brugmansia spp.)
Low,Medium,Tree,Tall,Commercial,Bird of Paradise (Strelitzia reginae)
Low,Medium,Shrub,Small,Ornamental,Dragon Tree (Dracaena draco)
Low,Medium,Shrub,Small,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
Low,Medium,Shrub,Small,Commercial,Kangaroo Paw (Anigozanthos spp.)
Low,Medium,Shrub,Medium,Ornamental,Bougainvillea (Bougainvillea spp.)
Low,Medium,Shrub,Medium,Medicinal,Plumeria (Plumeria spp.)
Low,Medium,Shrub,Medium,Commercial,Aloe Vera (Aloe barbadensis miller)
Low,Medium,Shrub,Dwarf,Ornamental,Oleander (Nerium oleander)
Low,Medium,Shrub,Dwarf,Medicinal,Canna Lily (Canna indica)
Low,Medium,Shrub,Dwarf,Commercial,Hibiscus (Hibiscus rosa-sinensis)
Low,Medium,Shrub,Large,Ornamental,Yucca (Yucca filamentosa)
Low,Medium,Shrub,Large,Medicinal,Desert Rose (Adenium obesum)
Low,Medium,Shrub,Large,Commercial,Heliconia (Heliconia spp.)
Low,Medium,Shrub,Tall,Ornamental,Cypress (Cupressus spp.)
Low,Medium,Shrub,Tall,Medicinal,Citrus Tree (Citrus spp.)
Low,Medium,Shrub,Tall,Commercial,Bitter Melon (Momordica charantia)
Low,Medium,Vine,Small,Ornamental,Passion Fruit Vine (Passiflora edulis)
Low,Medium,Vine,Small,Medicinal,Jade Plant (Crassula ovata)
Low,Medium,Vine,Small,Commercial,Mango Tree (Mangifera indica)
Low,Medium,Vine,Medium,Ornamental,Cocoa Tree (Theobroma cacao)
Low,Medium,Vine,Medium,Medicinal,Tropical Ginger (Zingiber zerumbet)
Low,Medium,Vine,Medium,Commercial,Red Banana (Ensete ventricosum)
Low,Medium,Vine,Dwarf,Ornamental,Rex Begonia (Begonia rex)
Low,Medium,Vine,Dwarf,Medicinal,Chili Pepper (Capsicum annuum)
Low,Medium,Vine,Dwarf,Commercial,Maranta (Maranta spp.)
Low,Medium,Vine,Large,Ornamental,Angel’s Trumpet (Brugmansia spp.)
Low,Medium,Vine,Large,Medicinal,Bird of Paradise (Strelitzia reginae)
Low,Medium,Vine,Large,Commercial,Dragon Tree (Dracaena draco)
Low,Medium,Vine,Tall,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
Low,Medium,Vine,Tall,Medicinal,Kangaroo Paw (Anigozanthos spp.)
Low,Medium,Vine,Tall,Commercial,Bougainvillea (Bougainvillea spp.)
Low,Medium,Ground cover,Small,Ornamental,Plumeria (Plumeria spp.)
Low,Medium,Ground cover,Small,Medicinal,Aloe Vera (Aloe barbadensis miller)
Low,Medium,Ground cover,Small,Commercial,Oleander (Nerium oleander)
Low,Medium,Ground cover,Medium,Ornamental,Canna Lily (Canna indica)
Low,Medium,Ground cover,Medium,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
Low,Medium,Ground cover,Medium,Commercial,Yucca (Yucca filamentosa)
Low,Medium,Ground cover,Dwarf,Ornamental,Desert Rose (Adenium obesum)
Low,Medium,Ground cover,Dwarf,Medicinal,Heliconia (Heliconia spp.)
Low,Medium,Ground cover,Dwarf,Commercial,Cypress (Cupressus spp.)
Low,Medium,Ground cover,Large,Ornamental,Citrus Tree (Citrus spp.)
Low,Medium,Ground cover,Large,Medicinal,Bitter Melon (Momordica charantia)
Low,Medium,Ground cover,Large,Commercial,Passion Fruit Vine (Passiflora edulis)
Low,Medium,Ground cover,Tall,Ornamental,Jade Plant (Crassula ovata)
Low,Medium,Ground cover,Tall,Medicinal,Mango Tree (Mangifera indica)
Low,Medium,Ground cover,Tall,Commercial,Cocoa Tree (Theobroma cacao)
Low,Medium,Herbaceous,Small,Ornamental,Tropical Ginger (Zingiber zerumbet)
Low,Medium,Herbaceous,Small,Medicinal,Red Banana (Ensete ventricosum)
Low,Medium,Herbaceous,Small,Commercial,Rex Begonia (Begonia rex)
Low,Medium,Herbaceous,Medium,Ornamental,Chili Pepper (Capsicum annuum)
Low,Medium,Herbaceous,Medium,Medicinal,Maranta (Maranta spp.)
Low,Medium,Herbaceous,Medium,Commercial,Angel’s Trumpet (Brugmansia spp.)
Low,Medium,Herbaceous,Dwarf,Ornamental,Bird of Paradise (Strelitzia reginae)
Low,Medium,Herbaceous,Dwarf,Medicinal,Dragon Tree (Dracaena draco)
Low,Medium,Herbaceous,Dwarf,Commercial,Bamboo Palm (Chamaedorea seifrizii)
Low,Medium,Herbaceous,Large,Ornamental,Kangaroo Paw (Anigozanthos spp.)
Low,Medium,Herbaceous,Large,Medicinal,Bougainvillea (Bougainvillea spp.)
Low,Medium,Herbaceous,Large,Commercial,Plumeria (Plumeria spp.)
Low,Medium,Herbaceous,Tall,Ornamental,Aloe Vera (Aloe barbadensis miller)
Low,Medium,Herbaceous,Tall,Medicinal,Oleander (Nerium oleander)
Low,Medium,Herbaceous,Tall,Commercial,Canna Lily (Canna indica)
Low,Medium,Grass,Small,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
Low,Medium,Grass,Small,Medicinal,Yucca (Yucca filamentosa)
Low,Medium,Grass,Small,Commercial,Desert Rose (Adenium obesum)
Low,Medium,Grass,Medium,Ornamental,Heliconia (Heliconia spp.)
Low,Medium,Grass,Medium,Medicinal,Cypress (Cupressus spp.)
Low,Medium,Grass,Medium,Commercial,Citrus Tree (Citrus spp.)
Low,Medium,Grass,Dwarf,Ornamental,Bitter Melon (Momordica charantia)
Low,Medium,Grass,Dwarf,Medicinal,Passion Fruit Vine (Passiflora edulis)
Low,Medium,Grass,Dwarf,Commercial,Jade Plant (Crassula ovata)
Low,Medium,Grass,Large,Ornamental,Mango Tree (Mangifera indica)
Low,Medium,Grass,Large,Medicinal,Cocoa Tree (Theobroma cacao)
Low,Medium,Grass,Large,Commercial,Tropical Ginger (Zingiber zerumbet)
Low,Medium,Grass,Tall,Ornamental,Red Banana (Ensete ventricosum)
Low,Medium,Grass,Tall,Medicinal,Rex Begonia (Begonia rex)
Low,Medium,Grass,Tall,Commercial,Chili Pepper (Capsicum annuum)
Low,High,Tree,Small,Ornamental,Maranta (Maranta spp.)
Low,High,Tree,Small,Medicinal,Angel’s Trumpet (Brugmansia spp.)
Low,High,Tree,Small,Commercial,Bird of Paradise (Strelitzia reginae)
Low,High,Tree,Medium,Ornamental,Dragon Tree (Dracaena draco)
Low,High,Tree,Medium,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
Low,High,Tree,Medium,Commercial,Kangaroo Paw (Anigozanthos spp.)
Low,High,Tree,Dwarf,Ornamental,Bougainvillea (Bougainvillea spp.)
Low,High,Tree,Dwarf,Medicinal,Plumeria (Plumeria spp.)
Low,High,Tree,Dwarf,Commercial,Aloe Vera (Aloe barbadensis miller)
Low,High,Tree,Large,Ornamental,Oleander (Nerium oleander)
Low,High,Tree,Large,Medicinal,Canna Lily (Canna indica)
Low,High,Tree,Large,Commercial,Hibiscus (Hibiscus rosa-sinensis)
Low,High,Tree,Tall,Ornamental,Yucca (Yucca filamentosa)
Low,High,Tree,Tall,Medicinal,Desert Rose (Adenium obesum)
Low,High,Tree,Tall,Commercial,Heliconia (Heliconia spp.)
Low,High,Shrub,Small,Ornamental,Cypress (Cupressus spp.)
Low,High,Shrub,Small,Medicinal,Citrus Tree (Citrus spp.)
Low,High,Shrub,Small,Commercial,Bitter Melon (Momordica charantia)
Low,High,Shrub,Medium,Ornamental,Passion Fruit Vine (Passiflora edulis)
Low,High,Shrub,Medium,Medicinal,Jade Plant (Crassula ovata)
Low,High,Shrub,Medium,Commercial,Mango Tree (Mangifera indica)
Low,High,Shrub,Dwarf,Ornamental,Cocoa Tree (Theobroma cacao)
Low,High,Shrub,Dwarf,Medicinal,Tropical Ginger (Zingiber zerumbet)
Low,High,Shrub,Dwarf,Commercial,Red Banana (Ensete ventricosum)
Low,High,Shrub,Large,Ornamental,Rex Begonia (Begonia rex)
Low,High,Shrub,Large,Medicinal,Chili Pepper (Capsicum annuum)
Low,High,Shrub,Large,Commercial,Maranta (Maranta spp.)
Low,High,Shrub,Tall,Ornamental,Angel’s Trumpet (Brugmansia spp.)
Low,High,Shrub,Tall,Medicinal,Bird of Paradise (Strelitzia reginae)
Low,High,Shrub,Tall,Commercial,Dragon Tree (Dracaena draco)
Low,High,Vine,Small,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
Low,High,Vine,Small,Medicinal,Kangaroo Paw (Anigozanthos spp.)
Low,High,Vine,Small,Commercial,Bougainvillea (Bougainvillea spp.)
Low,High,Vine,Medium,Ornamental,Plumeria (Plumeria spp.)
Low,High,Vine,Medium,Medicinal,Aloe Vera (Aloe barbadensis miller)
Low,High,Vine,Medium,Commercial,Oleander (Nerium oleander)
Low,High,Vine,Dwarf,Ornamental,Canna Lily (Canna indica)
Low,High,Vine,Dwarf,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
Low,High,Vine,Dwarf,Commercial,Yucca (Yucca filamentosa)
Low,High,Vine,Large,Ornamental,Desert Rose (Adenium obesum)
Low,High,Vine,Large,Medicinal,Heliconia (Heliconia spp.)
Low,High,Vine,Large,Commercial,Cypress (Cupressus spp.)
Low,High,Vine,Tall,Ornamental,Citrus Tree (Citrus spp.)
Low,High,Vine,Tall,Medicinal,Bitter Melon (Momordica charantia)
Low,High,Vine,Tall,Commercial,Passion Fruit Vine (Passiflora edulis)
Low,High,Ground cover,Small,Ornamental,Jade Plant (Crassula ovata)
Low,High,Ground cover,Small,Medicinal,Mango Tree (Mangifera indica)
Low,High,Ground cover,Small,Commercial,Cocoa Tree (Theobroma cacao)
Low,High,Ground cover,Medium,Ornamental,Tropical Ginger (Zingiber zerumbet)
Low,High,Ground cover,Medium,Medicinal,Red Banana (Ensete ventricosum)
Low,High,Ground cover,Medium,Commercial,Rex Begonia (Begonia rex)
Low,High,Ground cover,Dwarf,Ornamental,Chili Pepper (Capsicum annuum)
Low,High,Ground cover,Dwarf,Medicinal,Maranta (Maranta spp.)
Low,High,Ground cover,Dwarf,Commercial,Angel’s Trumpet (Brugmansia spp.)
Low,High,Ground cover,Large,Ornamental,Bird of Paradise (Strelitzia reginae)
Low,High,Ground cover,Large,Medicinal,Dragon Tree (Dracaena draco)
Low,High,Ground cover,Large,Commercial,Bamboo Palm (Chamaedorea seifrizii)
Low,High,Ground cover,Tall,Ornamental,Kangaroo Paw (Anigozanthos spp.)
Low,High,Ground cover,Tall,Medicinal,Bougainvillea (Bougainvillea spp.)
Low,High,Ground cover,Tall,Commercial,Plumeria (Plumeria spp.)
Low,High,Herbaceous,Small,Ornamental,Aloe Vera (Aloe barbadensis miller)
Low,High,Herbaceous,Small,Medicinal,Oleander (Nerium oleander)
Low,High,Herbaceous,Small,Commercial,Canna Lily (Canna indica)
Low,High,Herbaceous,Medium,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
Low,High,Herbaceous,Medium,Medicinal,Yucca (Yucca filamentosa)
Low,High,Herbaceous,Medium,Commercial,Desert Rose (Adenium obesum)
Low,High,Herbaceous,Dwarf,Ornamental,Heliconia (Heliconia spp.)
Low,High,Herbaceous,Dwarf,Medicinal,Cypress (Cupressus spp.)
Low,High,Herbaceous,Dwarf,Commercial,Citrus Tree (Citrus spp.)
Low,High,Herbaceous,Large,Ornamental,Bitter Melon (Momordica charantia)
Low,High,Herbaceous,Large,Medicinal,Passion Fruit Vine (Passiflora edulis)
Low,High,Herbaceous,Large,Commercial,Jade Plant (Crassula ovata)
Low,High,Herbaceous,Tall,Ornamental,Mango Tree (Mangifera indica)
Low,High,Herbaceous,Tall,Medicinal,Cocoa Tree (Theobroma cacao)
Low,High,Herbaceous,Tall,Commercial,Tropical Ginger (Zingiber zerumbet)
Low,High,Grass,Small,Ornamental,Red Banana (Ensete ventricosum)
Low,High,Grass,Small,Medicinal,Rex Begonia (Begonia rex)
Low,High,Grass,Small,Commercial,Chili Pepper (Capsicum annuum)
Low,High,Grass,Medium,Ornamental,Maranta (Maranta spp.)
Low,High,Grass,Medium,Medicinal,Angel’s Trumpet (Brugmansia spp.)
Low,High,Grass,Medium,Commercial,Bird of Paradise (Strelitzia reginae)
Low,High,Grass,Dwarf,Ornamental,Dragon Tree (Dracaena draco)
Low,High,Grass,Dwarf,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
Low,High,Grass,Dwarf,Commercial,Kangaroo Paw (Anigozanthos spp.)
Low,High,Grass,Large,Ornamental,Bougainvillea (Bougainvillea spp.)
Low,High,Grass,Large,Medicinal,Plumeria (Plumeria spp.)
Low,High,Grass,Large,Commercial,Aloe Vera (Aloe barbadensis miller)
Low,High,Grass,Tall,Ornamental,Oleander (Nerium oleander)
Low,High,Grass,Tall,Medicinal,Canna Lily (Canna indica)
Low,High,Grass,Tall,Commercial,Hibiscus (Hibiscus rosa-sinensis)
Medium,Low,Tree,Small,Ornamental,Yucca (Yucca filamentosa)
Medium,Low,Tree,Small,Medicinal,Desert Rose (Adenium obesum)
Medium,Low,Tree,Small,Commercial,Heliconia (Heliconia spp.)
Medium,Low,Tree,Medium,Ornamental,Cypress (Cupressus spp.)
Medium,Low,Tree,Medium,Medicinal,Citrus Tree (Citrus spp.)
Medium,Low,Tree,Medium,Commercial,Bitter Melon (Momordica charantia)
Medium,Low,Tree,Dwarf,Ornamental,Passion Fruit Vine (Passiflora edulis)
Medium,Low,Tree,Dwarf,Medicinal,Jade Plant (Crassula ovata)
Medium,Low,Tree,Dwarf,Commercial,Mango Tree (Mangifera indica)
Medium,Low,Tree,Large,Ornamental,Cocoa Tree (Theobroma cacao)
Medium,Low,Tree,Large,Medicinal,Tropical Ginger (Zingiber zerumbet)
Medium,Low,Tree,Large,Commercial,Red Banana (Ensete ventricosum)
Medium,Low,Tree,Tall,Ornamental,Rex Begonia (Begonia rex)
Medium,Low,Tree,Tall,Medicinal,Chili Pepper (Capsicum annuum)
Medium,Low,Tree,Tall,Commercial,Maranta (Maranta spp.)
Medium,Low,Shrub,Small,Ornamental,Angel’s Trumpet (Brugmansia spp.)
Medium,Low,Shrub,Small,Medicinal,Bird of Paradise (Strelitzia reginae)
Medium,Low,Shrub,Small,Commercial,Dragon Tree (Dracaena draco)
Medium,Low,Shrub,Medium,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
Medium,Low,Shrub,Medium,Medicinal,Kangaroo Paw (Anigozanthos spp.)
Medium,Low,Shrub,Medium,Commercial,Bougainvillea (Bougainvillea spp.)
Medium,Low,Shrub,Dwarf,Ornamental,Plumeria (Plumeria spp.)
Medium,Low,Shrub,Dwarf,Medicinal,Aloe Vera (Aloe barbadensis miller)
Medium,Low,Shrub,Dwarf,Commercial,Oleander (Nerium oleander)
Medium,Low,Shrub,Large,Ornamental,Canna Lily (Canna indica)
Medium,Low,Shrub,Large,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
Medium,Low,Shrub,Large,Commercial,Yucca (Yucca filamentosa)
Medium,Low,Shrub,Tall,Ornamental,Desert Rose (Adenium obesum)
Medium,Low,Shrub,Tall,Medicinal,Heliconia (Heliconia spp.)
Medium,Low,Shrub,Tall,Commercial,Cypress (Cupressus spp.)
Medium,Low,Vine,Small,Ornamental,Citrus Tree (Citrus spp.)
Medium,Low,Vine,Small,Medicinal,Bitter Melon (Momordica charantia)
Medium,Low,Vine,Small,Commercial,Passion Fruit Vine (Passiflora edulis)
Medium,Low,Vine,Medium,Ornamental,Jade Plant (Crassula ovata)
Medium,Low,Vine,Medium,Medicinal,Mango Tree (Mangifera indica)
Medium,Low,Vine,Medium,Commercial,Cocoa Tree (Theobroma cacao)
Medium,Low,Vine,Dwarf,Ornamental,Tropical Ginger (Zingiber zerumbet)
Medium,Low,Vine,Dwarf,Medicinal,Red Banana (Ensete ventricosum)
Medium,Low,Vine,Dwarf,Commercial,Rex Begonia (Begonia rex)
Medium,Low,Vine,Large,Ornamental,Chili Pepper (Capsicum annuum)
Medium,Low,Vine,Large,Medicinal,Maranta (Maranta spp.)
Medium,Low,Vine,Large,Commercial,Angel’s Trumpet (Brugmansia spp.)
Medium,Low,Vine,Tall,Ornamental,Bird of Paradise (Strelitzia reginae)
Medium,Low,Vine,Tall,Medicinal,Dragon Tree (Dracaena draco)
Medium,Low,Vine,Tall,Commercial,Bamboo Palm (Chamaedorea seifrizii)
Medium,Low,Ground cover,Small,Ornamental,Kangaroo Paw (Anigozanthos spp.)
Medium,Low,Ground cover,Small,Medicinal,Bougainvillea (Bougainvillea spp.)
Medium,Low,Ground cover,Small,Commercial,Plumeria (Plumeria spp.)
Medium,Low,Ground cover,Medium,Ornamental,Aloe Vera (Aloe barbadensis miller)
Medium,Low,Ground cover,Medium,Medicinal,Oleander (Nerium oleander)
Medium,Low,Ground cover,Medium,Commercial,Canna Lily (Canna indica)
Medium,Low,Ground cover,Dwarf,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
Medium,Low,Ground cover,Dwarf,Medicinal,Yucca (Yucca filamentosa)
Medium,Low,Ground cover,Dwarf,Commercial,Desert Rose (Adenium obesum)
Medium,Low,Ground cover,Large,Ornamental,Heliconia (Heliconia spp.)
Medium,Low,Ground cover,Large,Medicinal,Cypress (Cupressus spp.)
Medium,Low,Ground cover,Large,Commercial,Citrus Tree (Citrus spp.)
Medium,Low,Ground cover,Tall,Ornamental,Bitter Melon (Momordica charantia)
Medium,Low,Ground cover,Tall,Medicinal,Passion Fruit Vine (Passiflora edulis)
Medium,Low,Ground cover,Tall,Commercial,Jade Plant (Crassula ovata)
Medium,Low,Herbaceous,Small,Ornamental,Mango Tree (Mangifera indica)
Medium,Low,Herbaceous,Small,Medicinal,Cocoa Tree (Theobroma cacao)
Medium,Low,Herbaceous,Small,Commercial,Tropical Ginger (Zingiber zerumbet)
Medium,Low,Herbaceous,Medium,Ornamental,Red Banana (Ensete ventricosum)
Medium,Low,Herbaceous,Medium,Medicinal,Rex Begonia (Begonia rex)
Medium,Low,Herbaceous,Medium,Commercial,Chili Pepper (Capsicum annuum)
Medium,Low,Herbaceous,Dwarf,Ornamental,Maranta (Maranta spp.)
Medium,Low,Herbaceous,Dwarf,Medicinal,Angel’s Trumpet (Brugmansia spp.)
Medium,Low,Herbaceous,Dwarf,Commercial,Bird of Paradise (Strelitzia reginae)
Medium,Low,Herbaceous,Large,Ornamental,Dragon Tree (Dracaena draco)
Medium,Low,Herbaceous,Large,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
Medium,Low,Herbaceous,Large,Commercial,Kangaroo Paw (Anigozanthos spp.)
Medium,Low,Herbaceous,Tall,Ornamental,Bougainvillea (Bougainvillea spp.)
Medium,Low,Herbaceous,Tall,Medicinal,Plumeria (Plumeria spp.)
Medium,Low,Herbaceous,Tall,Commercial,Aloe Vera (Aloe barbadensis miller)
Medium,Low,Grass,Small,Ornamental,Oleander (Nerium oleander)
Medium,Low,Grass,Small,Medicinal,Canna Lily (Canna indica)
Medium,Low,Grass,Small,Commercial,Hibiscus (Hibiscus rosa-sinensis)
Medium,Low,Grass,Medium,Ornamental,Yucca (Yucca filamentosa)
Medium,Low,Grass,Medium,Medicinal,Desert Rose (Adenium obesum)
Medium,Low,Grass,Medium,Commercial,Heliconia (Heliconia spp.)
Medium,Low,Grass,Dwarf,Ornamental,Cypress (Cupressus spp.)
Medium,Low,Grass,Dwarf,Medicinal,Citrus Tree (Citrus spp.)
Medium,Low,Grass,Dwarf,Commercial,Bitter Melon (Momordica charantia)
Medium,Low,Grass,Large,Ornamental,Passion Fruit Vine (Passiflora edulis)
Medium,Low,Grass,Large,Medicinal,Jade Plant (Crassula ovata)
Medium,Low,Grass,Large,Commercial,Mango Tree (Mangifera indica)
Medium,Low,Grass,Tall,Ornamental,Cocoa Tree (Theobroma cacao)
